name,location,venue_type,website,capacity,parking,catering,accommodation,facilities,contact_name,contact_email,contact_phone,facebook,instagram,twitter,linkedin,tiktok,description,address,postcode,source,scraped_date,source_url,detected_town,christmas_party,private_dining,outdoor_space,wedding_licensed,parking_onsite,accommodation_onsite
Markbeech Village Hall,Markbeech,Party Venue,http://www.markbeechvillagehall.org.uk/,Medium (1-150),Onsite parking,Kitchen: Yes - Full - Facilities to prepare meal,No on-site accommodation,"Onsite parking: 6 spaces, On-street parking, Kitchen: Yes - Full - Facilities to prepare meal, Tables: 10 round tables,, 10 rectangle tables, Seating: 110 chairs, Cutlery, Crockery, Staging",Mrs Pamela Paige,,01342 850328,,,,,,"Markbeech Village Hall is a generous and versatile space run by enthusiastic volunteers, located in the picturesque village of Markbeech, Kent, within the High Weald Area of Outstanding Natural Beauty between East Grinstead and Tunbridge Wells. The hall is an excellent venue for private functions and events such as birthday parties, wedding receptions, concerts, plays, charity events, exercise classes and much more besides. It has a stage and a large garden suitable for marquees.","Cowden Pound Road, Markbeech, England, TN8 5NR",TN8 5NR,venues4hire.org,2026-09-03T10:02:24.441159,https://venues4hire.org/venue/details/33343/markbeech-village-hall,tonbridge,False,False,True,True,True,False
St Lawrence Village Hall,Stone Street,Party Venue,http://www.stlvh.org.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,arglencross@gmail.com,07860 793181,,,,,,"Village Hall Medium (1-150) A superb, well-maintained Village Hall, available for hire  (subject to existing bookings) features include:- Two halls, separately bookable:- a large hall (approx 7m x 14.6m, PLUS a stage area approximately 3.7m deep, and with a hearing-loop system - fire limit of 200, capacity of 100 seated), and a small hall (approx 8.4m x 7.4m effective open space) Kitchen, which includes a cooker (with double oven), a microwave, a plate warmer, crockery and cutlery Toilets (including, of course, a separate one for anyone who is disabled) Off-street tarmac area for car-parking for hirers Completely renovated in 2000;   modern central heating, Accolades include Hallmark Level Two (awarded in 2009) Reasonable hire rates (with discounts for regular or repeat bookings)","St Lawrence Village Hall, Church Road, Stone Street, Kent, TN15 0LL",TN15 0LL,venues4hire.org,2026-09-03T10:02:33.421096,https://venues4hire.org/venue/details/5336/st-lawrence-village-hall,sevenoaks,False,False,False,False,False,False
The Tenterden (Working Mens) Club,Tenterden,Party Venue,http://www.thetenterdenclub.co.uk/,Large (1-300),No parking,No on-site catering,No on-site accommodation,"Nearby parking: Within 150 metres, On-street parking, Tables: 8 round tables,, 25 rectangle tables, Seating: 150 chairs, Cutlery, Crockery, Bar: Yes - Fully stocked, WiFi, Staging, PA system",Sophie Law,secretary@thetenterdenclub.co.uk,01580 762888,https://www.facebook.com/thetenterdenclubofficial/,,https://twitter.com/tenterdenclub,,,"Our venue consists of two areas; Evans Bar and Moulton Hall. Evans Bar is carpeted and comes complete with tables and chairs to seat 80+ guests, ideal for smaller weddings or parties. Moulton Hall is a large dance hall which includes a stage and can hold 180+ guests (not seated). Combined the two areas create a fantastic space for any function.","Church Road, Tenterden, Kent, TN30 6AT",TN30 6AT,venues4hire.org,2026-09-03T10:02:41.024274,https://venues4hire.org/venue/details/22193/the-tenterden-working-mens-club,ashford,False,False,False,True,False,False
Dartford Conservative Club,Dartford,Party Venue,http://dartfordconservativeclub.co.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,Members Bar,Bookings Administrator,,01322 279969,,,,,,Membership Club (other) Medium (1-150) Dartford Conservative Club is a family friendly and welcoming social club in the centre of Dartford - the ideal place for a relaxing drink or a bite to eat. We always welcome new members. Facilities include: Members Bar Ballroom with a capacity for 150 guests (available for hire) Function room with a capacity for 60 guests (available for hire) Snooker room with 3 full size tables Kids Playroom coming soon.,"46 Spital St, Dartford, Kent, DA1 2DT",DA1 2DT,venues4hire.org,2026-09-03T10:02:43.770083,https://venues4hire.org/venue/details/24358/dartford-conservative-club,dartford,False,True,False,False,False,False
Dartford Working Mens Club,Dartford,Party Venue,http://www.dartfordwm.club/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,,01322 223646,,,,,,Membership Club (other) Medium (1-150) A clubhouse that can be hired for private functions.,"Essex Rd, Dartford, Kent, DA1 2AU",DA1 2AU,venues4hire.org,2026-09-03T10:02:44.666735,https://venues4hire.org/venue/details/24363/dartford-working-mens-club,dartford,False,False,False,False,False,False
Fordwich Town Hall,Fordwich,Conference Venue,http://www.fordwichtown.org/,Small (1-50),No parking,No on-site catering,No on-site accommodation,,Sarah Hillier,,07703 645011,https://www.facebook.com/groups/2768068746777241,,,,,"Local Authority (Town Hall etc) Small (1-50) Although Fordwich has never boasted more than a few hundred inhabitants, its right to style itself a town dates from 1184, when King Henry II granted it a Merchant Gild Charter, reflecting its importance as the de facto port for Canterbury. In the Domesday Book, it was described as a small burgh, one of only seven burghs in Kent. Since the 13th century, Fordwich has been involved with the Cinque Ports through its geographical and institutional links with Sandwich. Fordwich Town Council today is, in legal terms, a parish council composed of five members either elected, or more usually appointed. The original Fordwich corporation, with its liberty and privileges, was abolished in the local government reorganisation of 1886. kaddy lee preston in fordwichHowever, the chairman of the Council is styled the Mayor, and on ceremonial occasions wears a ","King Street, Fordwich, Kent, CT2 0DB",CT2 0DB,venues4hire.org,2026-09-03T10:02:49.568096,https://venues4hire.org/venue/details/25418/fordwich-town-hall,canterbury,False,False,False,False,False,False
Tenterden Town Hall,Tenterden,Conference Venue,http://www.tenterdentowncouncil.gov.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Deputy Town Clerk,,01580 762271,https://www.facebook.com/TenterdenTownCouncil/,https://www.instagram.com/tenterdentowncouncil/,,,,"The 18th Century Tenterden Town Hall is available for ceremonies, private parties, exercise classes, and almost anything else you can think of. The Mayor’s Parlour is an elegant room with an intimate atmosphere for a ceremony, and is able to accommodate up to 46 guests, while the Assembly Room is a beautiful, spacious hall with a stage and can accommodate a ceremony of up to 140 guests. The Town Hall balcony, which overlooks the historic High Street, is available for up to an hour after the ceremony, so that you can share a toast with your guests and take photographs. The Assembly Room is also the perfect place to gather with your friends and family after your ceremony, and can be booked for a reception or party, even if your ceremony is held elsewhere. It seats 100 people at tables or 150 people standing at a buffet style reception.","24 High Street, High Street, Tenterden, Kent, TN30 6AN",TN30 6AN,venues4hire.org,2026-09-03T10:02:50.467422,https://venues4hire.org/venue/details/25477/tenterden-town-hall,ashford,False,False,False,False,False,False
Tunbury Hall,Chatham,Conference Venue,,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,,07941 019678,,,,,,"Fully Accessible Venue, that can be hired for private functions. We are fully booked with regular users during the week. You can hire the hall from 2:15 PM onwards on Saturdays or from 10:15AM on Sundays. There are different timeslots as we discuss. Full evening parties  from 6PM till 11PM.","Tunbury Hall, Catkin Close, Chatham, Kent, ME5 9HP",ME5 9HP,venues4hire.org,2026-09-03T10:02:51.380888,https://venues4hire.org/venue/details/5523/tunbury-hall,maidstone,False,False,False,False,False,False
Knowlton Court Cottages - Nr. Canterbury,Nr. Canterbury,Training Venue,http://www.knowltoncourt.co.uk/,Medium (1-150),Onsite parking,Kitchen: Yes - Professional (manned),Has onsite accommodation,"Onsite parking: 80 spaces, Nearby parking: Within 100 metres, Disabled access, Disabled toilets, Kitchen: Yes - Professional (manned), Tables: 15 round tables,, 20 rectangle tables, Seating: 150 chairs, Bar: Yes - Fully stocked, WiFi, Staging, Projector screen, PA system",Dawn Bosworth,,01304 842402,https://www.facebook.com/knowltoncourt,https://www.instagram.com/knowltoncourtkent,,,,"Weddings Knowlton Court is a venue of choice and we revel in every couple’s individuality. Each wedding is unique and this enchanting family home has its own magnetic pull for every love story. The Manor House seats 86 for the wedding breakfast with additional 70 evening guests. Our marquee is erected between May-October, seats 150 for the wedding breakfast. Larger groups can be accommodated. Accommodation onsite for up to 64 guests. Events We are capable of delivering all your desires ensuring no detail is overlooked. Famed for its parties, this enchanting home is extravagant, beautiful with unique charm.","Knowlton Court Estate, Nr. Canterbury, England, CT3 1PT",CT3 1PT,venues4hire.org,2026-09-03T10:02:58.140135,https://venues4hire.org/venue/details/13980/knowlton-court-cottages,canterbury,False,False,True,True,True,True
Tonbridge School,Tonbridge,Training Venue,http://www.tonbridge-events.co.uk,Medium (1-150),Onsite parking,Adjacent catering facilities are available in the Orchard Centre.,Has onsite accommodation,"Onsite parking: 300 spaces, Nearby parking: Within 0 metres, Disabled access, Disabled toilets, Cutlery, Crockery, Bar: Yes - Manned, WiFi, Staging, Projector, Projector screen, PA system",Tonbridge Events Team,events@tonbridge-school.org,01732 304268,https://www.facebook.com/TonbridgeEvents/,,,,,"Welcome to Tonbridge Events Tonbridge School is fortunate to be situated on a stunning 150 acre site which is conveniently located on the northern edge of Tonbridge town, 25 miles southeast of London. The school offers a wealth of outstanding facilities, all of which are available to hire and will provide a memorable venue for any occasion, including wedding ceremonies. A combination of traditional charm and the most up-to-date resources ensure the facilities are ideally suited for a wide range of events. These include residential, academic, musical and artistic courses, conferences, exhibitions, concerts, musical recordings, theatre productions, sports development camps and private functions. A browse through these pages provides an idea of what is available, but the possibilities are by no means limited to those featured and we would be delighted to discuss your requirements in more de","Tonbridge School, High Street, Tonbridge, England, TN9 1JP",TN9 1JP,venues4hire.org,2026-09-03T10:02:59.046157,https://venues4hire.org/venue/details/31610/tonbridge-school,tonbridge,False,False,False,True,True,False
Canterbury Christ Church University,Canterbury,Training Venue,http://www.canterbury.ac.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,×,Bookings Administrator,courses@canterbury.ac.uk,01227 767700,,,,,,"School / College / Library Medium (1-150) Canterbury Christ Church University has a number of contemporary and historic venues within the city of Canterbury offering both residential and non residential conference and event facilities. Our main campus, located in the city centre offers a wide choice of meeting and seminar rooms, conference halls and all our venues including Broadstairs and Medway are equipped with the latest audio visual facilities.","North Holmes Road, Canterbury, Kent, CT1 1QU",CT1 1QU,venues4hire.org,2026-09-03T10:02:59.960518,https://venues4hire.org/venue/details/21482/canterbury-christ-church-university,canterbury,False,False,False,False,False,False
European School of Osteopathy,Maidstone,Training Venue,https://www.eso.ac.uk/,Medium (1-150),No parking,No on-site catering,No on-site accommodation,,Bookings Administrator,info.eso@bcnogroup.ac.uk,01622 671558,https://www.facebook.com/EuropeanSchoolofOsteopathy,https://instagram.com/eso_maidstone/,https://twitter.com/ESOMaidstone,,https://www.tiktok.com/@osteopathy.bcno,"School / College / Library Medium (1-150) We hope you will find our website interesting and helpful and that it will provide an insight into the wide range of educational activities taking place at the School. Our world-class reputation for the high quality of osteopathic education available at both undergraduate and postgraduate levels has been achieved through hard work, professionalism and dedication. Based in Maidstone Kent, the School has an academic site set in the beautiful surroundings of Boxley House and a Teaching Clinic on Tonbridge Road. Together they offer the full facilities required by students for an exciting and fulfilling osteopathic education. Our Integrated Master’s Degree in Osteopathy (M.Ost), validated by the University of Greenwich is second to none. It is an impressive and wide-ranging programme, introducing students to a complete holistic healthcare system and p","Boxley House, Maidstone, Kent, ME14 3DZ",ME14 3DZ,venues4hire.org,2026-09-03T10:03:02.663974,https://venues4hire.org/venue/details/31570/european-school-of-osteopathy,maidstone,False,False,False,False,False,False
The Hundred of Hoo Academy,Rochester,Training Venue,https://www.hundredofhooacademy.org.uk/,Large (1-300),Onsite parking,No on-site catering,No on-site accommodation,"Onsite parking, Disabled access, Disabled toilets, Staging, Projector, Projector screen",Booking Manager,primaryoffice@hundredofhoo.latrust.org.uk,01634 251443,https://www.facebook.com/lahundredofhoo/,https://www.instagram.com/lahundredofhoo/,,,,"School / College / Library Large (1-300) The Hundred of Hoo Academy’s facilities are available to hire. Based in the Rochester community; We have facilities for hire that are great for sport, drama, martial arts, business meetings, events plus much more! With free parking on site The Hundred of Hoo Academy can also accommodate private functions, birthday parties, conferences and events at affordable, low cost prices.","The Hundred of Hoo Academy, Main Road, Rochester, England, ME3 9HH",ME3 9HH,venues4hire.org,2026-09-03T10:03:06.226605,https://venues4hire.org/venue/details/37444/the-hundred-of-hoo-academy,maidstone,False,False,False,False,True,False
Balfour Winery on Hush Heath Estate,Staplehurst,Hotel with Event Space,http://www.balfourwinery.com/,Medium (1-150),Onsite parking,Kitchen: Yes - Professional (manned),No on-site accommodation,"Onsite parking, Disabled access, Disabled toilets, Kitchen: Yes - Professional (manned), WiFi, Projector screen, PA system",Reservations Manager,,01622 832794,https://www.facebook.com/BalfourWinery,https://www.instagram.com/balfourwinery/?hl=en,https://twitter.com/balfourwinery?lang=en,https://www.linkedin.com/company/balfour-winery,,"Hidden deep in the Garden of England, the Estate is home to our award winning English sparkling wine, Balfour Brut Rosé. Since its beginnings the Estate has grown its product range substantially and now boasts an exquisite selection of wines and ciders all produced from fruit grown in our beautiful vineyards and apple orchards. Our expert team of winemakers combine their skills in our state of the art winery to bring you this delicious range. The Estate comprises 400 acres of perfectly manicured vineyards, apple orchards and ancient oak woodlands rich with wildlife, flora and fauna all of which add to the beauty and provenance of what we produce. It’s our team’s passion for what we do that makes us unique and very special. What started as a hobby for entrepreneur Richard Balfour-Lynn is now a quickly expanding family based wine and cider business.  We welcome you to visit our Estate and ","Five Oak Lane, Staplehurst, Kent, TN12 0HT",TN12 0HT,venues4hire.org,2026-09-03T10:03:10.281651,https://venues4hire.org/venue/details/31585/balfour-winery-on-hush-heath-estate,tonbridge,False,False,True,False,True,False
Best Western Clifton Hotel,Folkestone,Hotel with Event Space,http://www.thecliftonhotel.com/meetings/,Medium (1-150),No parking,No on-site catering,Has onsite accommodation,"Nearby parking: Within 50 metres, On-street parking, Disabled access, Disabled toilets, Lift, Tables: 20 round tables,, 40 rectangle tables, Seating: 150 chairs, Bar: Yes - Manned, WiFi, Projector, Projector screen",Reception,,,,,,,,"Folkestone's premier hotel Best Western Clifton Hotel is Folkestone’s premier AA rated three star hotel with an elegant cliff-top position and spectacular views of the English Channel. Built in 1864, originally as a seaside townhouse for its Victorian residents, it nestles in the centre of Folkestone’s famous Leas, which is renowned for its well-kept lawns and gardens. Only fifty yards from the Leas Cliff Hall Conference and Entertainment Centre, the hotel is within walking distance of the town's amenities. An excellent base for trips to France located only three miles from the Channel Tunnel’s terminal and seven miles from the ferry port in Dover, as well as being conveniently situated for the M20 motorway.","The Leas, 1 - 6 Clifton Gardens, Folkestone, Kent, CT20 2EB",CT20 2EB,venues4hire.org,2026-09-03T10:03:14.852690,https://venues4hire.org/venue/details/31572/best-western-clifton-hotel,folkestone,False,False,True,False,False,False
BEST WESTERN PLUS Donnington Manor Hotel,Dunton Green,Hotel with Event Space,http://www.bw-donningtonmanor.co.uk/,Medium (1-150),Onsite parking,Kitchen: Yes - Professional (manned),Has onsite accommodation,"Onsite parking: 120 spaces, Disabled access, Disabled toilets, Lift, Kitchen: Yes - Professional (manned), Tables: 5 round tables,, 5 rectangle tables, Seating: 60 chairs,, 4 benches, Cutlery, Crockery, Bar: Yes - Manned, WiFi, Projector, Projector screen",Bookings Administrator,,01732 462681,https://www.facebook.com/Best-Western-Donnington-Manor-Hotel-1458077044495994/timeline/,,https://www.twitter.com/DonningtonManor,,,"Weddings BEST WESTERN Donnington Manor Hotel is licensed for Civil Weddings and has excellent facilities including Landscaped Gardens for photographs, choice of two superb fully air conditioned banqueting suites. The hotel also has 63 air conditioned bedrooms to accomodate your guests. Conferences BEST WESTERN Donnington Manor Hotel is equipped to the highest standards with 63 air-conditioned bedrooms and 3 air-conditioned conference suites. There are also 120 FREE Car Parking spaces.","Best Western Donnington Manor Hotel, London Road, Dunton Green, Kent, TN13 2TD",TN13 2TD,venues4hire.org,2026-09-03T10:03:16.595596,https://venues4hire.org/venue/details/13898/best-western-plus-donnington-manor-hotel,sevenoaks,False,True,True,True,True,True
Birchwood Park Golf Centre,Dartford,Hotel with Event Space,https://www.birchwoodparkgc.co.uk/,Medium (1-150),Onsite parking,Kitchen: Yes - Professional (manned),No on-site accommodation,"Onsite parking: 200 spaces, Nearby parking: Within 200 metres, Disabled access, Disabled toilets, Lift, Kitchen: Yes - Professional (manned), Tables: 12 round tables,, 40 rectangle tables, Seating: 150 chairs,, 4 benches, Cutlery, Crockery, Bar: Yes - Manned, WiFi, Projector",Booking Manager,,01322 662038,https://www.facebook.com,https://www.instagram.com/p/Dct6G6rIFj_/,,,,"The Kelvedon Suite is a stunning wedding ceremony and reception room and can accommodate up to 120 for a wedding breakfast and 250 for an evening reception.  With its own private entrance, lobby, bar and balcony the suite is completely separate from the rest of the Golf Centre facilities, and as it is on the first floor it boasts stunning panoramic views over the golf course. Our Lake View function room is our newly refurbished, modern, ground floor room which can accommodate up to 80 for a wedding breakfast and 200 for an evening reception. The room has its own bar with access to the outside patio and seating area.  - See more at: http://www.birchwoodparkgc.co.uk/weddings#sthash.m3VbWKWC.dpuf","Birchwood Park Golf Centre, Birchwood Road, Dartford, Kent, DA2 7HJ",DA2 7HJ,venues4hire.org,2026-09-03T10:03:17.521625,https://venues4hire.org/venue/details/9476/birchwood-park-golf-centre,dartford,False,True,False,True,True,False
Bloomsburys Biddenden,Biddenden,Hotel with Event Space,http://www.bloomsburysbiddenden.com/,Medium (1-150),Onsite parking,Kitchen: Yes - Professional (manned),Has onsite accommodation,"Onsite parking: 40 spaces, Disabled access, Disabled toilets, Kitchen: Yes - Professional (manned), Tables: 10 round tables,, 10 rectangle tables, Seating: 80 chairs,, 6 benches, Cutlery, Crockery, Bar: Yes - Manned, WiFi, Projector, Projector screen, PA system",Booking Administrator,info@bloomsburysbiddenden.com,01580 292992,https://www.facebook.com/bloomsburys.biddenden/?locale=en_GB,https://www.instagram.com/bloomsburysbiddenden/,,,,"Welcome to Bloomsburys Biddenden, situated in the Weald of Kent, between Sissinghurst Castle and the historic Village of Biddenden. Now in our fifth year of Glamping, we have established ourselves as one of the most popular glampsites in the UK, with a wonderful inspiring space offering food, music, dance, and wellness studios. Being fully licensed for weddings, receptions, civil partnerships and other events, our unique venue and beautiful restaurant & bar is ideal for both indoor and outdoor ceremonies, comfortable with both small and large gatherings... come inside and discover us!","Sissinghurst Road, Biddenden, Kent, TN27 8DQ",TN27 8DQ,venues4hire.org,2026-09-03T10:03:18.434841,https://venues4hire.org/venue/details/25395/bloomsburys-biddenden,ashford,False,False,False,True,True,False
Brandshatch Place Hotel & Spa,Longfield,Hotel with Event Space,http://www.handpickedhotels.co.uk/hotels/brandshatch-place/,Medium (1-150),Onsite parking,No on-site catering,38 bedrooms,"Onsite parking: 100 spaces, Nearby parking: Within 100 metres, Disabled access, Disabled toilets, Lift, Tables: 12 round tables, Seating: 120 chairs, Cutlery, Crockery, Bar: Yes - Fully stocked, WiFi, Projector, Projector screen",Brandshatch Place Hotel & Spa,,01474 875000,,,,,,"Dating back to the Duke of Norfolk in 1806, the original Georgian mansion combines the feeling of an elegant past, enriched with a modern feel of grandeur. Today, the luxury hotel still remains a stunning backdrop for those very important romantic occasions. Services offered Licensed to perform civil ceremonies, they boast a selection of suites and settings for you to hold your perfect wedding. With many years of experience, they are able to offer you an exceptional personalised service. Whatever you wedding size, they will tailor-make the most suitable wedding package fr you. Why not come and visit us and let us help you with any queries you may have. Brandshatch Place Hotel also organises open days where the hotel is set as it would be for a wedding day, and wedding fayres, which are perfect for you to meet all the suppliers you will be helped by. Cuisine Brandshatch Place has a renown","Brandshatch Place Hotel & Spa, Brands Hatch Road, Longfield, Kent, DA3 8NQ",DA3 8NQ,venues4hire.org,2026-09-03T10:03:20.276816,https://venues4hire.org/venue/details/13006/brandshatch-place-hotel-spa,dartford,False,False,False,True,True,False
Burlington Hotel,Folkestone,Hotel with Event Space,http://www.theburlingtonhotel.com/,Medium (1-150),Onsite parking,No on-site catering,60 bedrooms,"Onsite parking: 15 spaces, On-street parking, Disabled access, Disabled toilets, Lift, Tables: 10 round tables, WiFi, Staging, Projector, Projector screen, PA system",Events Manager,info@theburlingtonhotel.com,01303 255301,https://www.facebook.com/BurlingtonHotel,,https://twitter.com/BurlingtonHotel,,,"Weddings This 60 bedroom 4 star Victorian hotel overlooks Folkestone's famous Leas Promenade with views across the English Channel. The recently refurbished Premier Suite has direct access to the private terrace and gardens which provide an idyllic setting for photographs. Personal service and attention is guaranteed by the hotel's highly experienced team, with excellent menus showcasing fantastic produce from local farms and suppliers. Free Venue Hire and overnight accommodation for the bride and groom is also available subject to minimum spend on the event. Meetings Location is important when choosing where to hold your meeting or event and Folkestone is the ideal setting with rail links to London and continental Europe. Our main conference suite, which holds up to 120 delegates, offers natural daylight, and is fully air-conditioned. Free Wifi is a available to all of our guests","Burlington Hotel, 3 - 5 Earls Avenue, Folkestone, Kent, CT20 2HR",CT20 2HR,venues4hire.org,2026-09-03T10:03:21.140026,https://venues4hire.org/venue/details/13626/burlington-hotel,folkestone,False,False,True,True,True,True
Chilston Park Hotel,Sandway,Hotel with Event Space,http://www.handpickedhotels.co.uk/hotels/chilston-park/,Medium (1-150),Onsite parking,Kitchen: Yes - Professional (manned),Has onsite accommodation,"Onsite parking: 200 spaces, Disabled access, Disabled toilets, Lift, Kitchen: Yes - Professional (manned), Cutlery, Crockery, Bar: Yes - Manned, WiFi, Projector, Projector screen",Bookings Administrator,,08450 727426,,,,,,"Weddings Today, with its lake surrounded by 23 acres of private grounds, luxurious furnishings, open fires and candlelight; it remains a stunning backdrop for those very important occasions. Business Meetings Located just a one hour train ride from London Victoria, Chilston Park is easily accessible from the capital by train or road and is just 45 minutes from the port of Dover.","Chilston Park Hotel, Boughton Road, Sandway, Kent, ME17 2BE",ME17 2BE,venues4hire.org,2026-09-03T10:03:23.855048,https://venues4hire.org/venue/details/13007/chilston-park-hotel,maidstone,False,False,True,True,True,False
Dartford Social Club,Dartford,Hotel with Event Space,,Medium (1-150),No parking,Kitchen: Yes - Medium - basic food preparation,No on-site accommodation,"Nearby parking: Within 150 metres, Disabled access, Disabled toilets, Kitchen: Yes - Medium - basic food preparation, Tables: 50 round tables,, 40 rectangle tables, Seating: 100 chairs,, 12 benches, Bar: Yes - Manned, WiFi, Staging",Booking administrator,,01322 223192,,,,,,"Welcome to Dartford social club which is currently undergoing refubishment is pleased to offer a wide range of beers & spirits at competitve prices. Darts,pool,crib,snooker,bingo along with a host of other entertainment themes are available for you to enjoy. Extensive sky sports package available on 3 TVs in which each TV can have a different programme on. Hall is available to hire for private functions to members or non members at competitive rates (refundable deposit required) New members welcome.","59, Lowfield Street, Dartford, Kent, DA1 1HP",DA1 1HP,venues4hire.org,2026-09-03T10:03:24.778058,https://venues4hire.org/venue/details/24362/dartford-social-club,dartford,False,False,False,False,False,False
Dog and Duck - Marquee Venue,Kent,Hotel with Event Space,http://www.dogandduckpub.co.uk/,Medium (1-150),Onsite parking,No on-site catering,No on-site accommodation,"Onsite parking: 60 spaces, Nearby parking: Within 30 metres, Disabled access, Disabled toilets, Tables: 20 round tables,, 35 rectangle tables, Seating: 250 chairs, Bar: Yes - Fully stocked, WiFi, Staging, Projector, Projector screen, PA system",Tracy moon,,01843 821264,,https://instagram.com/BASKET168,,,,"Situated in the heart of the beautiful Kent countryside, the Dog and Duck Inn and Caravan Parks, at Plucks Gutter, Kent, offer an ideal opportunity to escape from the everyday stress, hustle and bustle of life today. Plucks Gutter, so near to everywhere, and yet so special and so different. It is, in fact, ""the perfect peace of Kent"".","Plucks gutter, Canterbury, Kent, CT3 1JB",CT3 1JB,venues4hire.org,2026-09-03T10:03:25.694040,https://venues4hire.org/venue/details/25402/dog-and-duck-marquee-venue,canterbury,False,False,True,False,True,False
East Quay Venue,Whitstable,Hotel with Event Space,http://www.eqvenue.com/,Medium (1-150),Onsite parking,No on-site catering,No on-site accommodation,"Onsite parking: 30 spaces, Nearby parking: Within 300 metres, Disabled access, Cutlery, Crockery, Bar: Yes - Manned, WiFi, Staging, PA system",East Quay Venue,info@eqvenue.com,01227 772157,https://www.facebook.com/Eastquayvenue?fref=nf,http://instagram.com/eastquayweddings,https://twitter.com/eastquay,,,"Where better than Whitstable to get married? This is your special day, after all, and naturally you want to share it with family and friends not only in a special location but also in a venue that is equally original and full of character. East Quay Venue, housed within one of Whitstable’s oldest buildings located at the end of the east quay harbour, was originally the home of the Seasalter and Ham Oyster Fishery Company and, like the famous Oyster Stores, faced the shore so the oyster companies could keep a watchful eye over their precious oyster beds. Facing still onto that same shingle seashore, East Quay Venue retains the structural features and character from its coastal heritage past, offering a relaxed ‘shabby-chic’ ambience; a place that sits beside the beach and from where you can effortlessly wander to the water’s edge…whenever you choose. And the venue’s authentic seaside atmo","East Quay, Whitstable Harbour, Whitstable, Kent, CT5 1AB",CT5 1AB,venues4hire.org,2026-09-03T10:03:28.905193,https://venues4hire.org/venue/details/25405/east-quay-venue,canterbury,False,False,False,False,True,False
Etchinghill Golf Club,Etchinghill,Hotel with Event Space,http://www.pentlandgolf.co.uk,Medium (1-150),Onsite parking,Kitchen: Yes - Full - Facilities to prepare meal,No on-site accommodation,"Onsite parking: 100 spaces, Disabled access, Disabled toilets, Kitchen: Yes - Full - Facilities to prepare meal, Tables: 12 round tables,, 5 rectangle tables, Seating: 150 chairs, Cutlery, Crockery, Bar: Yes - Manned, WiFi, Projector, Projector screen, PA system",Booking Manager,,01303 863863,,,,,,"Weddings Etchinghill is licensed for civil ceremonies seating people in their panoramic restaurant area. We have also hosted a number of civil partnerships, baby naming ceremonies and renewal of marriage vows.","Etchinghill Golf Club, Etchinghill, Kent, CT18 8FA",CT18 8FA,venues4hire.org,2026-09-03T10:03:29.829380,https://venues4hire.org/venue/details/12950/etchinghill-golf-club,folkestone,False,False,False,True,True,False
Holiday Inn Bexley,Bexley,Hotel with Event Space,https://www.holidayinn.com/londonbexley,Medium (1-150),Onsite parking,No on-site catering,107 bedrooms,"Onsite parking: 180 spaces, Disabled access, Disabled toilets, Lift, Tables: 14 round tables,, 25 rectangle tables, Seating: 180 chairs, Cutlery, Crockery, Bar: Yes - Manned, WiFi, Projector, Projector screen",The Events Team,,01322 464900,https://www.facebook.com/HolidayInnLondonBexley,,,,,"Looking for a venue in Bexley to host your next corporate event, team away day or special occasion? Holiday Inn London Bexley is a flexible venue suited to everything from meetings to weddings and parties. With 107 bedrooms, mini gym, onsite restaurant and 8 function rooms to choose from, including a large garden and patio perfect for summer events, Holiday Inn Bexley has a variety of spaces suited to corporate, leisure and social occasions. Situated inside what was once a hugely popular 70s live music venue, ‘The Black Prince’ pub,  paved the way for some famous names in the music industry, but thankfully the interior is very much modern day. It has a large open lobby space, perfect for a catchup with family and friends or an impromptu meeting with a colleague. Food is available from the all day dining menu and why not grab a Starbucks coffee from the bar while you’re there. If you’re t","Black Prince Interchange, Southwold Road, Bexley, Greater London, DA5 1ND",DA5 1ND,venues4hire.org,2026-09-03T10:03:31.696940,https://venues4hire.org/venue/details/16170/holiday-inn-bexley,dartford,False,True,True,True,True,True
