Venue Name,URL,Score,Severity,Unclaimed Listing,Description Length,Photo Count,Amenity Count,Has Capacity,Has Parking,Has Catering,Has Accommodation,Has Accessibility,Has Address,Has Email,Email Address,Email Source,Has Phone,Has Website,Room Count,Issue Count,Critical Issues,Warnings,Suggestions
G Casino,https://www.kentvenues.co.uk/venues/g-casino,66,Critical,No,498,1,4,No,Yes,Yes,No,Yes,Yes,Yes,reception.gc-thanet@rank.com,form,No,Yes,0,5,1,1,3
Girne American University,https://www.kentvenues.co.uk/venues/girne-american-university,27,Critical,No,110,0,0,Yes,No,No,No,No,Yes,Yes,info@gauc.org.uk,form,No,Yes,1,9,2,4,3
Go Ape Bedgebury,https://www.kentvenues.co.uk/venues/go-ape-bedgebury,32,Critical,No,270,4,0,No,No,No,No,No,Yes,Yes,questions@goape.co.uk,form,No,Yes,1,9,2,3,4
Go Ape Leeds Castle,https://www.kentvenues.co.uk/venues/go-ape-leeds-castle,22,Critical,No,99,3,0,No,No,No,No,No,Yes,Yes,questions@goape.co.uk,form,No,Yes,1,10,2,4,4
Goodnestone Park,https://www.kentvenues.co.uk/venues/goodnestone-park,30,Critical,Yes,98,7,2,No,Yes,No,No,No,Yes,Yes,enquiries@goodnestoneparkgardens.co.uk,form,No,Yes,1,9,2,4,3
Grange Moor Hotel,https://www.kentvenues.co.uk/venues/grange-moor-hotel,59,Critical,No,674,4,3,No,No,Yes,Yes,No,Yes,Yes,reservations@grangemoor.co.uk,form,No,Yes,3,6,1,2,3
Grangemoor Hotel,https://www.kentvenues.co.uk/venues/grangemoor-hotel,64,Critical,No,1248,4,3,No,Yes,Yes,Yes,No,Yes,Yes,reservations@grangemoor.co.uk,form,No,Yes,0,6,1,1,4
Gravesend Old Town Hall,https://www.kentvenues.co.uk/venues/gravesend-old-town-hall,27,Critical,No,798,2,0,No,No,No,No,No,Yes,Yes,info@oldtownhallgravesend.co.uk,form,No,Yes,3,9,2,4,3
Greene King Brewery,https://www.kentvenues.co.uk/venues/green-king-brewery,17,Critical,No,366,0,0,No,No,No,No,No,Yes,Yes,6471@greeneking.co.uk,form,No,Yes,0,9,3,3,3
Greenhill Farm,https://www.kentvenues.co.uk/venues/greenhill-farm,22,Critical,No,99,3,0,No,No,No,No,No,Yes,Yes,info@greenhill-farm.co.uk,form,No,Yes,0,10,2,4,4
Groombridge Place,https://www.kentvenues.co.uk/venues/groombridge-place,55,Critical,No,398,5,2,No,No,Yes,No,No,Yes,Yes,office@groombridgeplace.com,form,No,Yes,3,7,1,3,3
Grove Ferry Inn,https://www.kentvenues.co.uk/venues/grove-ferry-inn,12,Critical,Yes,92,5,0,No,No,No,No,No,Yes,Yes,info@thegroveferry.co.uk,form,No,Yes,0,10,3,4,3
Hadlow Bar and Grill,https://www.kentvenues.co.uk/venues/hadlow-bar-and-grill,50,Critical,No,743,1,0,Yes,No,Yes,No,No,Yes,Yes,bookings@theroserevived.co.uk,form,No,Yes,0,7,1,3,3
Hadlow Manor Hotel,https://www.kentvenues.co.uk/venues/hadlow-manor-hotel,52,Critical,Yes,142,5,4,No,Yes,Yes,Yes,No,Yes,Yes,reception@hadlowmanor.co.uk,form,No,Yes,1,6,2,2,2
Halfway House,https://www.kentvenues.co.uk/venues/halfway-house,58,Critical,No,849,3,1,No,No,Yes,No,Yes,Yes,Yes,halfwayhousechallock@outlook.com,form,No,Yes,1,7,1,2,4
Hall Place,https://www.kentvenues.co.uk/venues/hall-place,50,Critical,No,454,5,0,No,No,Yes,No,Yes,Yes,Yes,hallplaceenquiries@bexley.gov.uk,form,No,Yes,0,7,2,1,4
Hampton by Hilton Canterbury,https://www.kentvenues.co.uk/venues/hampton-by-hilton-canterbury,80,Critical,No,674,6,8,No,Yes,Yes,Yes,Yes,Yes,Yes,frontdesk@hbhcanterbury.com,form,No,Yes,0,3,1,0,2
Havenfield Hall,https://www.kentvenues.co.uk/venues/havenfield-hall,41,Critical,No,355,4,0,No,No,Yes,Yes,No,Yes,Yes,havenfieldhall@outlook.com,form,No,Yes,0,8,2,2,4
Hayne House,https://www.kentvenues.co.uk/venues/hayne-house,80,Critical,No,2174,17,10,No,Yes,Yes,Yes,Yes,Yes,Yes,enquiries@haynehouse.co.uk,form,No,Yes,3,3,1,0,2
Hazlitt Arts Centre,https://www.kentvenues.co.uk/venues/hazlitt-arts-centre,25,Critical,Yes,81,3,2,No,Yes,No,No,No,Yes,Yes,hazlitt.boxoffice@parkwoodtheatres.co.uk,form,No,Yes,1,10,2,4,4
Hempstead House,https://www.kentvenues.co.uk/venues/hempstead-house,39,Critical,No,237,2,0,No,No,Yes,Yes,No,Yes,Yes,info@hempsteadhouse.co.uk,form,No,Yes,0,7,2,3,2
Hengist Village Bar and Dining Rooms,https://www.kentvenues.co.uk/venues/hengist-village-bar-and-dining-rooms,0,Critical,No,0,0,0,No,No,No,No,No,Yes,Yes,info@hengistoutandabout.com,form,No,Yes,0,10,4,3,3
Herne Community Centre,https://www.kentvenues.co.uk/venues/herne-community-centre,24,Critical,No,385,2,0,No,No,No,No,No,Yes,Yes,info@hernecentre.org,form,No,Yes,0,10,2,4,4
Herne Institute Hall,https://www.kentvenues.co.uk/venues/herne-institute-hall,0,Critical,No,0,0,0,No,No,No,No,No,Yes,No,,,No,No,0,11,5,3,3
Herons Park,https://www.kentvenues.co.uk/venues/herons-park,50,Critical,No,110,5,2,No,Yes,No,No,No,Yes,Yes,weddings@heronspark.com,form,No,Yes,1,8,1,4,3
Herons Park Venue,https://www.kentvenues.co.uk/venues/herons-park-venue,32,Critical,No,288,4,0,No,No,No,No,No,Yes,Yes,weddings@heronspark.com,form,No,Yes,0,9,2,3,4
Hever Castle,https://www.kentvenues.co.uk/venues/hever-castle,55,Critical,No,748,11,2,No,Yes,No,No,No,Yes,Yes,info@hevercastle.co.uk,form,No,Yes,3,7,1,3,3
Hever Hotel,https://www.kentvenues.co.uk/venues/hever-hotel,0,Critical,No,0,0,0,No,No,No,No,No,No,Yes,info@hevercastle.co.uk,form,No,Yes,0,12,4,4,4
High Elms Golf Course,https://www.kentvenues.co.uk/venues/high-elms-golf-course,52,Critical,No,823,3,3,No,No,Yes,No,No,Yes,Yes,highelms@mytimeactive.co.uk,form,No,Yes,0,8,1,2,5
High Rocks,https://www.kentvenues.co.uk/venues/high-rocks,43,Critical,Yes,73,5,4,No,Yes,Yes,No,No,Yes,Yes,enquiries@highrocks.co.uk,form,No,Yes,3,7,2,2,3
Hilton Dartford Bridge Hotel,https://www.kentvenues.co.uk/venues/hilton-dartford-bridge-hotel,65,Critical,No,210,6,3,No,Yes,Yes,No,No,Yes,Yes,khush.amalsadiwalla@doubletreedartfordbridge.com,form,No,Yes,0,6,1,1,4
Holiday Inn Ashford Central,https://www.kentvenues.co.uk/venues/holiday-inn-ashford-central,64,Critical,No,455,4,5,No,Yes,Yes,Yes,No,Yes,Yes,frontdesk@hiashfordcentralhotel.co.uk,form,No,No,1,6,1,1,4
Holiday Inn Ashford North,https://www.kentvenues.co.uk/venues/holiday-inn-ashford-north,72,Critical,No,2451,3,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,liz.newell@hiashford.com,form,No,No,1,5,1,0,4
Holiday Inn Ashford North A20,https://www.kentvenues.co.uk/venues/holiday-inn-ashford-north-a20,59,Critical,No,294,2,4,No,Yes,Yes,Yes,No,Yes,Yes,kelly.tanton@hiashford.com,form,No,No,1,6,1,2,3
Holiday Inn Dover,https://www.kentvenues.co.uk/venues/holiday-inn-dover,79,Warning,No,922,8,3,Yes,No,Yes,Yes,No,Yes,Yes,events@holidayinndover.co.uk,form,No,Yes,3,4,0,2,2
Holiday Inn Express Canterbury,https://www.kentvenues.co.uk/venues/holiday-inn-express-canterbury,61,Critical,No,378,7,3,No,No,Yes,Yes,No,Yes,Yes,reservations@hiexpressctb.co.uk,form,No,No,3,6,1,2,3
Holiday Inn Express Folkestone,https://www.kentvenues.co.uk/venues/holiday-inn-express-folkestone,59,Critical,No,95,5,4,No,Yes,Yes,Yes,No,Yes,Yes,reservations@hiexfolkestone.com,form,No,No,3,6,1,2,3
Holiday Inn Express London Dartford,https://www.kentvenues.co.uk/venues/holiday-inn-express-london-dartford,64,Critical,No,292,4,3,No,Yes,Yes,Yes,No,Yes,Yes,info@expressdartford.co.uk,form,No,No,2,6,1,1,4
Holiday Inn Express Ramsgate Minster,https://www.kentvenues.co.uk/venues/holiday-inn-express-ramsgate-minster,72,Critical,No,343,5,5,No,Yes,Yes,Yes,No,Yes,Yes,reservations@hiexramsgate.com,form,No,Yes,2,4,1,1,2
Holiday Inn London Bexley,https://www.kentvenues.co.uk/venues/holiday-inn-london-bexley,62,Critical,No,152,5,7,No,Yes,Yes,Yes,Yes,Yes,No,,,No,No,3,4,2,1,1
Holiday Inn Maidstone - Sevenoaks,https://www.kentvenues.co.uk/venues/holiday-inn-maidstone-sevenoaks,49,Critical,No,371,2,3,No,Yes,Yes,Yes,No,Yes,No,,,No,Yes,0,5,2,2,1
Holiday Inn Rochester-Chatham,https://www.kentvenues.co.uk/venues/holiday-inn-rochester-chatham,59,Critical,No,480,6,6,No,Yes,No,Yes,Yes,Yes,No,,,No,No,3,4,2,1,1
Holiday Inn Sittingbourne,https://www.kentvenues.co.uk/venues/holiday-inn-sittingbourne,79,Warning,No,615,4,5,Yes,Yes,Yes,Yes,No,Yes,Yes,opsdirector@conistonhotelkent.com,form,No,No,1,5,0,1,4
Hooden Smokehouse & Cellar,https://www.kentvenues.co.uk/venues/hooden-on-the-hill,58,Critical,No,847,3,2,No,Yes,No,No,Yes,Yes,Yes,info@hooden.co.uk,form,No,Yes,1,7,1,2,4
Hotel du Vin & Bistro Tunbridge Wells,https://www.kentvenues.co.uk/venues/hotel-du-vin-bistro-tunbridge-wells,57,Critical,No,478,6,3,No,No,Yes,No,No,Yes,Yes,theteam@hotelduvin.com,form,No,No,3,7,1,2,4
Hotel Tunbridge Wells Retreat,https://www.kentvenues.co.uk/venues/hotel-tunbridge-wells-retreat,56,Critical,No,269,6,4,No,Yes,Yes,Yes,No,Yes,No,,,No,Yes,0,5,2,1,2
Howfield Manor Hotel,https://www.kentvenues.co.uk/venues/howfield-manor-hotel,60,Critical,No,1752,4,0,No,Yes,Yes,Yes,Yes,Yes,Yes,hotel@howfield.net,form,No,Yes,3,5,2,0,3
Hush Heath Estate & Winery,https://www.kentvenues.co.uk/venues/hush-heath-estate-winery,58,Critical,No,267,3,2,No,Yes,No,No,Yes,Yes,Yes,info@balfourhushheath.com,form,No,Yes,1,7,1,2,4
Hythe Holiday Cottage,https://www.kentvenues.co.uk/venues/hythe-holiday-cottage,61,Critical,No,1142,14,3,No,Yes,No,Yes,No,Yes,Yes,hythecottage@yahoo.co.uk,form,No,No,1,6,1,2,3
Inn On The Lake,https://www.kentvenues.co.uk/venues/inn-on-the-lake,34,Critical,Yes,78,9,2,No,Yes,No,Yes,No,Yes,Yes,iol@fcdhotels.co.uk,form,No,Yes,3,8,2,4,2
Judd's Folly Hotel,https://www.kentvenues.co.uk/venues/judds-folly-hotel,64,Critical,No,316,4,4,No,Yes,Yes,Yes,No,Yes,Yes,juddsfollyhotel@icloud.com,form,No,Yes,0,6,1,1,4
Judds Folly Hotel,https://www.kentvenues.co.uk/venues/judds-folly-hotel-2,41,Critical,No,378,4,0,No,No,Yes,Yes,No,Yes,Yes,juddsfollyhotel@icloud.com,form,No,Yes,0,8,2,2,4
K College,https://www.kentvenues.co.uk/venues/k-college,7,Critical,Yes,71,4,0,No,No,No,No,No,Yes,Yes,info@westkent.ac.uk,form,No,Yes,1,11,3,4,4
Kennington Hall,https://www.kentvenues.co.uk/venues/kennington-hall,34,Critical,No,400,6,0,No,No,No,No,No,Yes,Yes,kenningtonhall@outlook.com,form,No,Yes,0,9,2,3,4
Kent County Cricket Club,https://www.kentvenues.co.uk/venues/kent-county-cricket-club,73,Warning,No,368,3,1,Yes,Yes,Yes,No,No,Yes,Yes,feedback.kent@ecb.co.uk,form,No,Yes,2,6,0,2,4
Kent Event Centre,https://www.kentvenues.co.uk/venues/kent-event-centre,90,Warning,No,2291,8,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,info@kenteventcentre.co.uk,form,No,Yes,3,3,0,1,2
Kent Invicta Chamber of Commerce,https://www.kentvenues.co.uk/venues/kent-invicta-chamber-commerce,73,Critical,No,3460,7,0,Yes,Yes,Yes,No,Yes,No,Yes,info@kentinvictachamber.co.uk,form,Yes,Yes,1,3,1,1,1
Kent Life,https://www.kentvenues.co.uk/venues/kent-life,7,Critical,Yes,92,4,0,No,No,No,No,No,Yes,Yes,enquiries@kentlife.org.uk,form,No,Yes,0,11,3,4,4
Kent Science Park,https://www.kentvenues.co.uk/venues/kent-science-park,22,Critical,No,55,3,0,No,No,No,No,No,Yes,Yes,reception@ksp-uk.com,form,No,Yes,0,10,2,4,4
Kenward Conference Centre,https://www.kentvenues.co.uk/venues/kenward-conference-centre,63,Critical,No,373,4,3,No,Yes,Yes,No,No,Yes,Yes,reception@kenwardplace.co.uk,form,No,Yes,2,6,1,1,4
Kevington Hall,https://www.kentvenues.co.uk/venues/kevington-hall,24,Critical,No,197,3,0,No,No,No,No,No,Yes,Yes,enquiries@kevingtonhall.com,form,No,Yes,0,11,2,4,5
King Charles Hotel,https://www.kentvenues.co.uk/venues/king-charles-hotel,56,Critical,No,244,10,2,No,No,Yes,Yes,No,Yes,Yes,kch@fcdhotels.co.uk,form,No,Yes,0,7,1,3,3
Kingfisher House Business Centre,https://www.kentvenues.co.uk/venues/kingfisher-house-business-centre,63,Critical,No,459,5,2,No,Yes,Yes,No,No,Yes,Yes,reception@kingfisherhousebc.co.uk,form,No,Yes,3,6,1,2,3
Kings Rochester Sports Centre,https://www.kentvenues.co.uk/venues/kings-rochester-sports-centre-hire,88,Warning,No,4769,2,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,mmalone@kingssportscentre.co.uk,form,No,Yes,3,2,0,1,1
Kingshill Barn,https://www.kentvenues.co.uk/venues/kingshill-barn,28,Critical,No,407,2,0,No,No,No,Yes,No,Yes,Yes,info@elmleynaturereserve.co.uk,form,No,Yes,0,9,2,4,3
Kingshill Farm at Elmley Nature Reserve,https://www.kentvenues.co.uk/venues/kingshill-farm-at-elmley-nature-reserve,41,Critical,No,407,5,0,No,No,No,Yes,No,Yes,Yes,weddings@elmleynaturereserve.co.uk,form,No,Yes,0,7,2,3,2
Kingswood - Grosvenor Hall,https://www.kentvenues.co.uk/venues/kingswood-grosvenor-hall,35,Critical,No,220,2,0,No,No,Yes,No,No,Yes,Yes,sales@kingswood.co.uk,form,No,Yes,1,8,2,3,3
Knole Park Golf Club Ltd,https://www.kentvenues.co.uk/venues/knole-park-golf-club-ltd,58,Critical,No,189,3,5,No,Yes,Yes,No,No,Yes,Yes,enquiries@knoleparkgolfclub.co.uk,form,No,Yes,2,7,1,2,4
Knowle Country House,https://www.kentvenues.co.uk/venues/knowle-country-house,55,Critical,No,200,5,2,No,No,Yes,No,No,Yes,Yes,info@knowlecountryhouse.co.uk,form,No,Yes,0,7,1,3,3
Knowlton Court,https://www.kentvenues.co.uk/venues/knowlton-court,55,Critical,No,363,5,2,No,Yes,No,No,No,Yes,Yes,weddings@knowltoncourt.co.uk,form,No,Yes,3,7,1,3,3
La Trappiste,https://www.kentvenues.co.uk/venues/la-trappiste,12,Critical,No,636,0,0,No,No,Yes,No,No,Yes,No,,,No,No,0,8,4,2,2
Larkfield Priory Hotel,https://www.kentvenues.co.uk/venues/larkfield-priory-hotel,46,Critical,No,382,8,0,No,No,Yes,Yes,No,Yes,Yes,reservations@larkfieldpriory.co.uk,form,No,No,1,7,2,2,3
Leaf Hotel Dover,https://www.kentvenues.co.uk/venues/leaf-hotel-dover,79,Warning,No,468,6,2,Yes,Yes,Yes,Yes,No,Yes,Yes,reservations@ramadadover.co.uk,form,No,Yes,0,5,0,2,3
Leas Cliff Hall,https://www.kentvenues.co.uk/venues/leas-cliff-hall,20,Critical,Yes,75,2,2,No,Yes,No,No,No,Yes,Yes,help@atgtickets.com,form,No,Yes,1,10,2,5,3
London Beach Country Hotel,https://www.kentvenues.co.uk/venues/leas-cliff-hall-theatre-entertainment-venue,72,Critical,No,371,7,6,No,Yes,Yes,Yes,No,Yes,Yes,enquiries@londonbeach.com,form,No,Yes,1,4,1,1,2
Leeds Castle,https://www.kentvenues.co.uk/venues/leeds-castle-2,43,Critical,No,0,24,17,No,Yes,Yes,No,Yes,Yes,No,,,No,No,3,5,3,0,2
Little Hermitage,https://www.kentvenues.co.uk/venues/little-hermitage,37,Critical,No,460,6,0,No,No,No,No,No,Yes,Yes,info@littlehermitage.co.uk,form,No,Yes,0,8,2,3,3
Little Silver Country Hotel,https://www.kentvenues.co.uk/venues/little-silver-country-hotel,39,Critical,Yes,101,7,2,No,No,Yes,Yes,No,Yes,Yes,enquiries@little-silver.co.uk,form,No,Yes,3,8,2,4,2
London Golf Club,https://www.kentvenues.co.uk/venues/london-golf-club,27,Critical,Yes,113,6,1,No,No,No,No,No,Yes,Yes,golf@londongolf.co.uk,form,No,Yes,1,10,2,5,3
Lordswood Leisure Centre,https://www.kentvenues.co.uk/venues/lordswood-leisure-centre-2,78,Critical,No,2914,6,3,Yes,Yes,Yes,No,Yes,Yes,No,,,No,Yes,3,3,1,0,2
Lost Village of Dode,https://www.kentvenues.co.uk/venues/lost-village-of-dode,51,Critical,No,633,4,0,Yes,No,No,Yes,No,Yes,Yes,enquiries@dodevillage.com,form,No,Yes,1,7,1,3,3
Lower Grange Farm,https://www.kentvenues.co.uk/venues/lower-grange-farm,58,Critical,No,479,4,1,No,Yes,Yes,No,No,Yes,Yes,bookings@lowergrangefarm.co.uk,form,No,Yes,0,7,1,2,4
Lympne Castle,https://www.kentvenues.co.uk/venues/lympne-castle,84,Warning,No,4801,9,1,Yes,No,Yes,Yes,Yes,Yes,Yes,info@lympnecastle.com,form,Yes,Yes,3,3,0,2,1
Lynsted Park,https://www.kentvenues.co.uk/venues/lynsted-park,40,Critical,No,779,3,0,No,No,Yes,No,No,Yes,Yes,events@lynstedpark.com,form,No,Yes,0,8,2,2,4
Maidstone Studios,https://www.kentvenues.co.uk/venues/maidstone-studios,40,Critical,Yes,101,9,3,No,No,Yes,No,No,Yes,Yes,info@maidstonestudios.com,form,No,Yes,1,8,2,3,3
Maison Dieu Guest House,https://www.kentvenues.co.uk/venues/maison-dieu-guest-house,62,Critical,No,1585,4,2,No,Yes,Yes,Yes,No,Yes,Yes,info@maisondieu.co.uk,form,No,Yes,0,6,1,2,3
Margate Football Club,https://www.kentvenues.co.uk/venues/margate-football-club,40,Critical,No,1301,0,0,Yes,No,Yes,No,No,Yes,Yes,commercial@margate-fc.co.uk,form,No,Yes,1,7,2,2,3
Marine Hotel,https://www.kentvenues.co.uk/venues/marine-hotel,64,Critical,No,383,5,5,No,No,Yes,Yes,No,Yes,Yes,marine@shepherd-neame.co.uk,form,No,Yes,3,5,1,2,2
Marleybrook House,https://www.kentvenues.co.uk/venues/marleybrook-house,59,Critical,No,1242,6,1,No,No,Yes,Yes,No,Yes,Yes,info@marleybrookhouse.co.uk,form,No,Yes,1,6,1,3,2
Mercure Dartford Brands Hatch Hotel & Spa,https://www.kentvenues.co.uk/venues/mercure-dartford-brands-hatch-hotel-spa,59,Critical,No,509,2,4,No,Yes,Yes,Yes,No,Yes,Yes,ha0i7@accor.com,form,No,No,3,6,1,2,3
Hythe Imperial Hotel,https://www.kentvenues.co.uk/venues/mercure-hythe-imperial,98,Suggestions,No,4666,14,16,Yes,Yes,Yes,Yes,Yes,Yes,Yes,reception@hytheimperialhotel.com,form,No,Yes,3,1,0,0,1
Mercure Maidstone Great Danes Hotel,https://www.kentvenues.co.uk/venues/mercure-maidstone-great-danes-hotel,26,Critical,Yes,103,4,2,No,No,No,Yes,No,Yes,Yes,info@mercuremaidstone.co.uk,form,No,Yes,3,10,2,5,3
Mercure Tunbridge Wells,https://www.kentvenues.co.uk/venues/mercure-tunbridge-wells,87,Warning,No,2512,5,5,Yes,Yes,Yes,Yes,No,Yes,Yes,info@mercuretunbridgewells.co.uk,form,No,Yes,1,3,0,1,2
Mereworth Wines,https://www.kentvenues.co.uk/venues/mereworth-wines,62,Critical,No,1972,14,0,Yes,Yes,Yes,Yes,No,Yes,No,,,No,No,0,3,2,1,0
MidKent College,https://www.kentvenues.co.uk/venues/midkent-college,55,Critical,No,2092,4,0,Yes,No,Yes,No,No,Yes,Yes,applications@midkent.ac.uk,form,No,Yes,2,7,1,2,4
Molland Manor House,https://www.kentvenues.co.uk/venues/molland-manor-house,38,Critical,No,744,2,2,No,No,No,Yes,No,Yes,Yes,tracy@mollandhouse.co.uk,form,No,Yes,0,9,1,5,3
Mount Ephraim Gardens,https://www.kentvenues.co.uk/venues/mount-ephraim-gardens,59,Critical,No,477,5,1,No,No,Yes,Yes,No,Yes,Yes,weddings@mountephraimgardens.co.uk,form,No,Yes,3,6,1,3,2
Mountains Country House,https://www.kentvenues.co.uk/venues/mountains-country-house,74,Warning,No,1561,6,1,Yes,No,Yes,Yes,No,Yes,Yes,enquiries@mountainsevents.co.uk,form,No,Yes,3,5,0,3,2
Nayland Rock Hotel,https://www.kentvenues.co.uk/venues/nayland-rock-hotel,46,Critical,No,438,4,2,No,No,No,Yes,No,Yes,Yes,reservations@naylandrockhotel.co.uk,form,No,Yes,3,8,1,4,3
Nettlestead Place,https://www.kentvenues.co.uk/venues/nettlestead-place,46,Critical,No,224,3,1,No,No,No,Yes,No,Yes,Yes,enquiries@nettlestead-place.co.uk,form,No,Yes,2,8,1,4,3
Nizels Golf & Country Club,https://www.kentvenues.co.uk/venues/nizels-golf-country-club,32,Critical,Yes,117,9,4,No,No,No,No,No,Yes,Yes,nizels.info@theclubcompany.com,form,No,Yes,1,9,2,4,3
North Foreland Golf Club,https://www.kentvenues.co.uk/venues/north-foreland-golf-club,29,Critical,No,280,3,0,No,No,No,No,No,Yes,Yes,proshop@northforeland.co.uk,form,No,Yes,0,10,2,3,5
Northdown House,https://www.kentvenues.co.uk/venues/northdown-house,42,Critical,No,438,1,0,Yes,No,No,No,No,Yes,Yes,events@yourleisure.uk.com,form,No,Yes,2,8,1,4,3
Nurstead Court,https://www.kentvenues.co.uk/venues/nurstead-court,78,Warning,No,1090,7,2,Yes,Yes,Yes,No,No,Yes,Yes,info@nursteadcourt.co.uk,form,No,Yes,3,5,0,2,3
Oakley House,https://www.kentvenues.co.uk/venues/oakley-house,43,Critical,Yes,105,4,3,No,Yes,Yes,No,No,Yes,Yes,info@oakleyhouse.co.uk,form,No,Yes,1,8,2,2,4
Oakwood House Hotel,https://www.kentvenues.co.uk/venues/oakwood-house-hotel,34,Critical,Yes,95,6,2,No,No,Yes,Yes,No,Yes,Yes,info@oakwoodhousehotel.co.uk,form,No,Yes,3,8,2,4,2
Odeon Beckenham,https://www.kentvenues.co.uk/venues/odeon-beckenham,60,Warning,No,753,1,1,Yes,Yes,No,No,No,Yes,Yes,bsearle@odeonuk.com,form,No,Yes,1,7,0,4,3
Odeon Canterbury,https://www.kentvenues.co.uk/venues/odeon-canterbury,60,Warning,No,743,1,1,Yes,Yes,No,No,No,Yes,Yes,bsearle@odeonuk.com,form,No,Yes,1,7,0,4,3
Odeon Chatham,https://www.kentvenues.co.uk/venues/odeon-chatham,60,Warning,No,744,1,1,Yes,Yes,No,No,No,Yes,Yes,bsearle@odeonuk.com,form,No,Yes,1,7,0,4,3
Odeon Maidstone,https://www.kentvenues.co.uk/venues/odeon-maidstone,60,Warning,No,743,1,1,Yes,Yes,No,No,No,Yes,Yes,bsearle@odeonuk.com,form,No,Yes,1,7,0,4,3
Odeon Tunbridge Wells,https://www.kentvenues.co.uk/venues/odeon-tunbridge-wells,60,Warning,No,743,1,1,Yes,Yes,No,No,No,Yes,Yes,bsearle@odeonuk.com,form,No,Yes,1,7,0,4,3
Odo's Barn,https://www.kentvenues.co.uk/venues/odos-barn,82,Warning,No,951,5,1,Yes,Yes,Yes,Yes,No,Yes,Yes,info@odosbarn.com,form,No,Yes,1,4,0,2,2
One Warwick Park,https://www.kentvenues.co.uk/venues/one-warwick-park-hotel,89,Warning,No,3475,7,5,Yes,No,Yes,Yes,Yes,Yes,Yes,info@onewarwickpark.co.uk,form,Yes,Yes,3,2,0,1,1
Orangery Maidstone,https://www.kentvenues.co.uk/venues/orangery-maidstone,52,Critical,No,1301,10,0,Yes,No,No,No,No,Yes,Yes,team@orangery.sonas.email,form,No,Yes,3,7,1,3,3
The Orchard Suite,https://www.kentvenues.co.uk/venues/orchard-suite,45,Critical,No,889,7,0,No,No,Yes,No,No,Yes,Yes,enquiries@theorchardspot.co.uk,form,No,Yes,3,7,2,2,3
Orida Hotels Maidstone,https://www.kentvenues.co.uk/venues/orida-hotels-maidstone,67,Critical,No,1172,6,3,No,No,Yes,Yes,No,Yes,Yes,events.maidstone@oridahotels.com,form,No,Yes,2,4,1,2,1
Orpington Golf Centre,https://www.kentvenues.co.uk/venues/orpington-golf-centre,55,Critical,No,700,4,8,No,No,Yes,No,No,Yes,Yes,orpington@mytimeactive.co.uk,form,No,Yes,1,7,1,2,4
Orpington Village Hall,https://www.kentvenues.co.uk/venues/orpington-village-hall,34,Critical,No,253,5,0,No,No,No,No,No,Yes,Yes,bookings@orpingtonvillagehall.org.uk,form,No,Yes,0,9,2,3,4
Otto Bar & Shisha Lounge,https://www.kentvenues.co.uk/venues/otto-bar-shisha-lounge,37,Critical,No,243,4,0,No,No,Yes,No,No,Yes,Yes,ottolounge2@gmail.com,form,No,No,0,9,2,2,5
Oxon Hoath,https://www.kentvenues.co.uk/venues/oxon-hoath,59,Critical,No,1789,10,1,No,No,Yes,Yes,No,Yes,Yes,admin@oxonhoath.co.uk,form,No,Yes,3,6,1,3,2
Park Wood Golf Club,https://www.kentvenues.co.uk/venues/park-wood-golf-club,37,Critical,No,424,4,0,No,No,Yes,No,No,Yes,Yes,info@parkwoodgolf.co.uk,form,No,Yes,0,9,2,2,5
The Pavilion Folkestone,https://www.kentvenues.co.uk/venues/pavilion-folkestone,98,Suggestions,No,1198,7,12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,thepavilionkent@gmail.com,form,No,Yes,0,1,0,0,1
Peerless Palace,https://www.kentvenues.co.uk/venues/peerless-palace,0,Critical,No,0,0,0,No,No,No,No,No,Yes,No,,,No,No,0,10,5,3,2
Penshurst Place & Gardens,https://www.kentvenues.co.uk/venues/penshurst-place-gardens,78,Warning,No,694,4,3,Yes,Yes,Yes,No,No,Yes,Yes,contactus@penshurstplace.com,form,No,Yes,1,5,0,1,4
Petts Wood Memorial Hall,https://www.kentvenues.co.uk/venues/petts-wood-memorial-hall,24,Critical,No,318,1,0,No,No,No,No,No,Yes,Yes,contact@pettswoodmemorialhall.co.uk,form,No,Yes,0,10,2,4,4
Pierremont Hall,https://www.kentvenues.co.uk/venues/pierremont-hall,32,Critical,No,386,4,0,No,No,No,No,No,Yes,Yes,events@broadstairs.gov.uk,form,No,Yes,3,9,2,3,4
Pines Calyx,https://www.kentvenues.co.uk/venues/pines-calyx,86,Warning,No,1675,5,2,Yes,Yes,Yes,No,Yes,Yes,Yes,enquiries@baytrust.org.uk,form,No,Yes,0,4,0,1,3
Polhill Business Centre,https://www.kentvenues.co.uk/venues/polhill-business-centre,50,Critical,No,236,1,4,No,Yes,No,No,No,Yes,Yes,enquiries@polhillbusinesscentre.co.uk,form,No,Yes,3,7,1,3,3
Port Lympne,https://www.kentvenues.co.uk/venues/port-lympne,98,Suggestions,No,3489,18,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,info@aspinallfoundation.org,form,No,Yes,3,1,0,0,1
