Venue Name	URL	Score	Issue Category	Severity	Issue Description	Recommended Improvement
Curzon Canterbury	https://www.kentvenues.co.uk/venues/curzon-canterbury	4	photos	suggestion	Only 3 photos — could add more	"Aim for 8-10 photos covering exterior, each main space, and example event set-ups"
Curzon Canterbury	https://www.kentvenues.co.uk/venues/curzon-canterbury	4	facilities	critical	No facilities or amenities listed	"Add a complete amenities list: WiFi, AV equipment, heating, air conditioning, kitchen access, etc."
Curzon Canterbury	https://www.kentvenues.co.uk/venues/curzon-canterbury	4	parking	warning	No parking information on the listing	"Add parking details: number of spaces, on-site vs nearby, disabled bays, EV charging, and any charges"
Curzon Canterbury	https://www.kentvenues.co.uk/venues/curzon-canterbury	4	catering	warning	No catering or food/drink information on the listing	"Clarify catering options: in-house catering, approved caterers list, BYO alcohol policy, and dietary accommodations"
Curzon Canterbury	https://www.kentvenues.co.uk/venues/curzon-canterbury	4	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
Curzon Canterbury	https://www.kentvenues.co.uk/venues/curzon-canterbury	4	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Curzon Canterbury	https://www.kentvenues.co.uk/venues/curzon-canterbury	4	contact	suggestion	No venue website link on the listing	Embed or link the venue's own website so visitors can research further
Curzon Canterbury	https://www.kentvenues.co.uk/venues/curzon-canterbury	4	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Curzon Canterbury	https://www.kentvenues.co.uk/venues/curzon-canterbury	4	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Danson House	https://www.kentvenues.co.uk/venues/danson-house	28	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
Danson House	https://www.kentvenues.co.uk/venues/danson-house	28	photos	suggestion	Only 4 photos — could add more	"Aim for 8-10 photos covering exterior, each main space, and example event set-ups"
Danson House	https://www.kentvenues.co.uk/venues/danson-house	28	facilities	critical	No facilities or amenities listed	"Add a complete amenities list: WiFi, AV equipment, heating, air conditioning, kitchen access, etc."
Danson House	https://www.kentvenues.co.uk/venues/danson-house	28	parking	warning	No parking information on the listing	"Add parking details: number of spaces, on-site vs nearby, disabled bays, EV charging, and any charges"
Danson House	https://www.kentvenues.co.uk/venues/danson-house	28	catering	warning	No catering or food/drink information on the listing	"Clarify catering options: in-house catering, approved caterers list, BYO alcohol policy, and dietary accommodations"
Danson House	https://www.kentvenues.co.uk/venues/danson-house	28	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
Danson House	https://www.kentvenues.co.uk/venues/danson-house	28	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Danson House	https://www.kentvenues.co.uk/venues/danson-house	28	contact	warning	"Missing social media link(s): Twitter/X, Instagram (shown as a dead ""#"" link)"	"Add the venue's Twitter/X and Instagram profile URL(s) — the placeholder ""#"" links look broken to visitors"
Danson House	https://www.kentvenues.co.uk/venues/danson-house	28	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Danson House	https://www.kentvenues.co.uk/venues/danson-house	28	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Darling Buds Farm	https://www.kentvenues.co.uk/venues/darling-buds-farm	43	facilities	critical	No facilities or amenities listed	"Add a complete amenities list: WiFi, AV equipment, heating, air conditioning, kitchen access, etc."
Darling Buds Farm	https://www.kentvenues.co.uk/venues/darling-buds-farm	43	parking	warning	No parking information on the listing	"Add parking details: number of spaces, on-site vs nearby, disabled bays, EV charging, and any charges"
Darling Buds Farm	https://www.kentvenues.co.uk/venues/darling-buds-farm	43	catering	warning	No catering or food/drink information on the listing	"Clarify catering options: in-house catering, approved caterers list, BYO alcohol policy, and dietary accommodations"
Darling Buds Farm	https://www.kentvenues.co.uk/venues/darling-buds-farm	43	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Darling Buds Farm	https://www.kentvenues.co.uk/venues/darling-buds-farm	43	contact	critical	"No contact information at all — no email, no social media, no website link"	Add at minimum a contact email and the venue's website and social media links so enquirers can reach the venue directly
Darling Buds Farm	https://www.kentvenues.co.uk/venues/darling-buds-farm	43	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Deal Town Hall	https://www.kentvenues.co.uk/venues/deal-town-hall	32	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
Deal Town Hall	https://www.kentvenues.co.uk/venues/deal-town-hall	32	photos	warning	Only 1 photo(s) on the listing	"Add more photos — listings with 5+ images convert significantly better. Cover different spaces, angles, and event set-ups"
Deal Town Hall	https://www.kentvenues.co.uk/venues/deal-town-hall	32	facilities	critical	No facilities or amenities listed	"Add a complete amenities list: WiFi, AV equipment, heating, air conditioning, kitchen access, etc."
Deal Town Hall	https://www.kentvenues.co.uk/venues/deal-town-hall	32	parking	warning	No parking information on the listing	"Add parking details: number of spaces, on-site vs nearby, disabled bays, EV charging, and any charges"
Deal Town Hall	https://www.kentvenues.co.uk/venues/deal-town-hall	32	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Deal Town Hall	https://www.kentvenues.co.uk/venues/deal-town-hall	32	contact	warning	"Missing social media link(s): Twitter/X, Instagram (shown as a dead ""#"" link)"	"Add the venue's Twitter/X and Instagram profile URL(s) — the placeholder ""#"" links look broken to visitors"
Deal Town Hall	https://www.kentvenues.co.uk/venues/deal-town-hall	32	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Deal Town Hall	https://www.kentvenues.co.uk/venues/deal-town-hall	32	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Deal Town Hall	https://www.kentvenues.co.uk/venues/deal-town-hall	32	facilities	suggestion	Large venue has no individual rooms/spaces listed	"Break the venue into bookable spaces with individual descriptions, capacities, and photos"
Detling Corporate Services Conference Room	https://www.kentvenues.co.uk/venues/detling-corporate-services-conference-room	0	description	warning	Description is very short (74 characters)	"Expand the description to at least 200 characters covering key details like venue style, setting, and ideal event types"
Detling Corporate Services Conference Room	https://www.kentvenues.co.uk/venues/detling-corporate-services-conference-room	0	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
Detling Corporate Services Conference Room	https://www.kentvenues.co.uk/venues/detling-corporate-services-conference-room	0	photos	critical	No photographs on the listing	"Add a minimum of 5 high-quality photographs showing the venue exterior, main spaces, and set-up examples"
Detling Corporate Services Conference Room	https://www.kentvenues.co.uk/venues/detling-corporate-services-conference-room	0	facilities	critical	No facilities or amenities listed	"Add a complete amenities list: WiFi, AV equipment, heating, air conditioning, kitchen access, etc."
Detling Corporate Services Conference Room	https://www.kentvenues.co.uk/venues/detling-corporate-services-conference-room	0	parking	warning	No parking information on the listing	"Add parking details: number of spaces, on-site vs nearby, disabled bays, EV charging, and any charges"
Detling Corporate Services Conference Room	https://www.kentvenues.co.uk/venues/detling-corporate-services-conference-room	0	catering	warning	No catering or food/drink information on the listing	"Clarify catering options: in-house catering, approved caterers list, BYO alcohol policy, and dietary accommodations"
Detling Corporate Services Conference Room	https://www.kentvenues.co.uk/venues/detling-corporate-services-conference-room	0	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
Detling Corporate Services Conference Room	https://www.kentvenues.co.uk/venues/detling-corporate-services-conference-room	0	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Detling Corporate Services Conference Room	https://www.kentvenues.co.uk/venues/detling-corporate-services-conference-room	0	contact	warning	No contact email address behind the enquiry form	Set the venue's enquiry email so the contact form reaches the venue (currently enquirers can only use the site-wide form)
Detling Corporate Services Conference Room	https://www.kentvenues.co.uk/venues/detling-corporate-services-conference-room	0	contact	warning	No social media links — all three social icons are unfilled placeholders	"Add the venue's Facebook, Twitter/X and Instagram profile URLs"
Detling Corporate Services Conference Room	https://www.kentvenues.co.uk/venues/detling-corporate-services-conference-room	0	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Detling Corporate Services Conference Room	https://www.kentvenues.co.uk/venues/detling-corporate-services-conference-room	0	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Diggerland	https://www.kentvenues.co.uk/venues/diggerland	25	description	critical	Listing is unclaimed — the description is auto-generated boilerplate	"Claim the listing and replace the auto-generated text with a real description (200+ words) covering character, history, setting and unique selling points"
Diggerland	https://www.kentvenues.co.uk/venues/diggerland	25	description	warning	Description could be more detailed (127 characters)	"Consider adding more details about the venue's atmosphere, capacity ranges, and unique features"
Diggerland	https://www.kentvenues.co.uk/venues/diggerland	25	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
Diggerland	https://www.kentvenues.co.uk/venues/diggerland	25	photos	warning	Only 2 photo(s) on the listing	"Add more photos — listings with 5+ images convert significantly better. Cover different spaces, angles, and event set-ups"
Diggerland	https://www.kentvenues.co.uk/venues/diggerland	25	facilities	warning	Only 1 facilities listed (Parking)	"Expand the amenities list to include everything guests would want to know — WiFi, AV, parking, catering options, accessibility features"
Diggerland	https://www.kentvenues.co.uk/venues/diggerland	25	catering	warning	No catering or food/drink information on the listing	"Clarify catering options: in-house catering, approved caterers list, BYO alcohol policy, and dietary accommodations"
Diggerland	https://www.kentvenues.co.uk/venues/diggerland	25	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
Diggerland	https://www.kentvenues.co.uk/venues/diggerland	25	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Diggerland	https://www.kentvenues.co.uk/venues/diggerland	25	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Diggerland	https://www.kentvenues.co.uk/venues/diggerland	25	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Dode Church	https://www.kentvenues.co.uk/venues/dode-church	0	description	critical	Listing is unclaimed — the description is auto-generated boilerplate	"Claim the listing and replace the auto-generated text with a real description (200+ words) covering character, history, setting and unique selling points"
Dode Church	https://www.kentvenues.co.uk/venues/dode-church	0	description	warning	Description is very short (79 characters)	"Expand the description to at least 200 characters covering key details like venue style, setting, and ideal event types"
Dode Church	https://www.kentvenues.co.uk/venues/dode-church	0	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
Dode Church	https://www.kentvenues.co.uk/venues/dode-church	0	photos	critical	No photographs on the listing	"Add a minimum of 5 high-quality photographs showing the venue exterior, main spaces, and set-up examples"
Dode Church	https://www.kentvenues.co.uk/venues/dode-church	0	facilities	critical	No facilities or amenities listed	"Add a complete amenities list: WiFi, AV equipment, heating, air conditioning, kitchen access, etc."
Dode Church	https://www.kentvenues.co.uk/venues/dode-church	0	parking	warning	No parking information on the listing	"Add parking details: number of spaces, on-site vs nearby, disabled bays, EV charging, and any charges"
Dode Church	https://www.kentvenues.co.uk/venues/dode-church	0	catering	warning	No catering or food/drink information on the listing	"Clarify catering options: in-house catering, approved caterers list, BYO alcohol policy, and dietary accommodations"
Dode Church	https://www.kentvenues.co.uk/venues/dode-church	0	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
Dode Church	https://www.kentvenues.co.uk/venues/dode-church	0	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Dode Church	https://www.kentvenues.co.uk/venues/dode-church	0	contact	warning	No social media links — all three social icons are unfilled placeholders	"Add the venue's Facebook, Twitter/X and Instagram profile URLs"
Dode Church	https://www.kentvenues.co.uk/venues/dode-church	0	contact	suggestion	No venue website link on the listing	Embed or link the venue's own website so visitors can research further
Dode Church	https://www.kentvenues.co.uk/venues/dode-church	0	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Dode Church	https://www.kentvenues.co.uk/venues/dode-church	0	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Dog & Bear Hotel	https://www.kentvenues.co.uk/venues/dog-bear-hotel	40	description	critical	Listing is unclaimed — the description is auto-generated boilerplate	"Claim the listing and replace the auto-generated text with a real description (200+ words) covering character, history, setting and unique selling points"
Dog & Bear Hotel	https://www.kentvenues.co.uk/venues/dog-bear-hotel	40	description	warning	Description could be more detailed (106 characters)	"Consider adding more details about the venue's atmosphere, capacity ranges, and unique features"
Dog & Bear Hotel	https://www.kentvenues.co.uk/venues/dog-bear-hotel	40	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
Dog & Bear Hotel	https://www.kentvenues.co.uk/venues/dog-bear-hotel	40	parking	warning	No parking information on the listing	"Add parking details: number of spaces, on-site vs nearby, disabled bays, EV charging, and any charges"
Dog & Bear Hotel	https://www.kentvenues.co.uk/venues/dog-bear-hotel	40	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Dog & Bear Hotel	https://www.kentvenues.co.uk/venues/dog-bear-hotel	40	contact	warning	"Missing social media link(s): Twitter/X (shown as a dead ""#"" link)"	"Add the venue's Twitter/X profile URL(s) — the placeholder ""#"" links look broken to visitors"
Dog & Bear Hotel	https://www.kentvenues.co.uk/venues/dog-bear-hotel	40	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Dog & Bear Hotel	https://www.kentvenues.co.uk/venues/dog-bear-hotel	40	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Donnington Manor	https://www.kentvenues.co.uk/venues/donnington-manor	83	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Donnington Manor	https://www.kentvenues.co.uk/venues/donnington-manor	83	contact	warning	"Missing social media link(s): Instagram (shown as a dead ""#"" link)"	"Add the venue's Instagram profile URL(s) — the placeholder ""#"" links look broken to visitors"
Donnington Manor	https://www.kentvenues.co.uk/venues/donnington-manor	83	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Donnington Manor	https://www.kentvenues.co.uk/venues/donnington-manor	83	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
DoubleTree by Hilton Dartford Bridge	https://www.kentvenues.co.uk/venues/doubletree-by-hilton-dartford-bridge	60	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
DoubleTree by Hilton Dartford Bridge	https://www.kentvenues.co.uk/venues/doubletree-by-hilton-dartford-bridge	60	photos	suggestion	Only 4 photos — could add more	"Aim for 8-10 photos covering exterior, each main space, and example event set-ups"
DoubleTree by Hilton Dartford Bridge	https://www.kentvenues.co.uk/venues/doubletree-by-hilton-dartford-bridge	60	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
DoubleTree by Hilton Dartford Bridge	https://www.kentvenues.co.uk/venues/doubletree-by-hilton-dartford-bridge	60	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
DoubleTree by Hilton Dartford Bridge	https://www.kentvenues.co.uk/venues/doubletree-by-hilton-dartford-bridge	60	contact	suggestion	No venue website link on the listing	Embed or link the venue's own website so visitors can research further
DoubleTree by Hilton Dartford Bridge	https://www.kentvenues.co.uk/venues/doubletree-by-hilton-dartford-bridge	60	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
DoubleTree by Hilton Dartford Bridge	https://www.kentvenues.co.uk/venues/doubletree-by-hilton-dartford-bridge	60	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Dover Town Hall	https://www.kentvenues.co.uk/venues/dover-town-hall	16	description	critical	Listing is unclaimed — the description is auto-generated boilerplate	"Claim the listing and replace the auto-generated text with a real description (200+ words) covering character, history, setting and unique selling points"
Dover Town Hall	https://www.kentvenues.co.uk/venues/dover-town-hall	16	description	warning	Description is very short (68 characters)	"Expand the description to at least 200 characters covering key details like venue style, setting, and ideal event types"
Dover Town Hall	https://www.kentvenues.co.uk/venues/dover-town-hall	16	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
Dover Town Hall	https://www.kentvenues.co.uk/venues/dover-town-hall	16	photos	warning	Only 2 photo(s) on the listing	"Add more photos — listings with 5+ images convert significantly better. Cover different spaces, angles, and event set-ups"
Dover Town Hall	https://www.kentvenues.co.uk/venues/dover-town-hall	16	facilities	warning	Only 1 facilities listed (Parking)	"Expand the amenities list to include everything guests would want to know — WiFi, AV, parking, catering options, accessibility features"
Dover Town Hall	https://www.kentvenues.co.uk/venues/dover-town-hall	16	catering	warning	No catering or food/drink information on the listing	"Clarify catering options: in-house catering, approved caterers list, BYO alcohol policy, and dietary accommodations"
Dover Town Hall	https://www.kentvenues.co.uk/venues/dover-town-hall	16	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
Dover Town Hall	https://www.kentvenues.co.uk/venues/dover-town-hall	16	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Dover Town Hall	https://www.kentvenues.co.uk/venues/dover-town-hall	16	contact	warning	"Missing social media link(s): Instagram (shown as a dead ""#"" link)"	"Add the venue's Instagram profile URL(s) — the placeholder ""#"" links look broken to visitors"
Dover Town Hall	https://www.kentvenues.co.uk/venues/dover-town-hall	16	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Dover Town Hall	https://www.kentvenues.co.uk/venues/dover-town-hall	16	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Dreamland Margate	https://www.kentvenues.co.uk/venues/dreamland-margate-2	94	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
Dreamland Margate	https://www.kentvenues.co.uk/venues/dreamland-margate-2	94	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Due Amici Ristorante	https://www.kentvenues.co.uk/venues/due-amici-ristorante	0	contact	critical	DEAD LISTING — URL redirects away to a generic page (venue appears removed from the site)	"Remove the dead URL from the sitemap, or restore/redirect the listing to the venue's current page"
East Kent College	https://www.kentvenues.co.uk/venues/east-kent-college	0	description	critical	Listing is unclaimed — the description is auto-generated boilerplate	"Claim the listing and replace the auto-generated text with a real description (200+ words) covering character, history, setting and unique selling points"
East Kent College	https://www.kentvenues.co.uk/venues/east-kent-college	0	description	warning	Description is very short (75 characters)	"Expand the description to at least 200 characters covering key details like venue style, setting, and ideal event types"
East Kent College	https://www.kentvenues.co.uk/venues/east-kent-college	0	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
East Kent College	https://www.kentvenues.co.uk/venues/east-kent-college	0	photos	critical	No photographs on the listing	"Add a minimum of 5 high-quality photographs showing the venue exterior, main spaces, and set-up examples"
East Kent College	https://www.kentvenues.co.uk/venues/east-kent-college	0	facilities	critical	No facilities or amenities listed	"Add a complete amenities list: WiFi, AV equipment, heating, air conditioning, kitchen access, etc."
East Kent College	https://www.kentvenues.co.uk/venues/east-kent-college	0	parking	warning	No parking information on the listing	"Add parking details: number of spaces, on-site vs nearby, disabled bays, EV charging, and any charges"
East Kent College	https://www.kentvenues.co.uk/venues/east-kent-college	0	catering	warning	No catering or food/drink information on the listing	"Clarify catering options: in-house catering, approved caterers list, BYO alcohol policy, and dietary accommodations"
East Kent College	https://www.kentvenues.co.uk/venues/east-kent-college	0	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
East Kent College	https://www.kentvenues.co.uk/venues/east-kent-college	0	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
East Kent College	https://www.kentvenues.co.uk/venues/east-kent-college	0	contact	warning	No social media links — all three social icons are unfilled placeholders	"Add the venue's Facebook, Twitter/X and Instagram profile URLs"
East Kent College	https://www.kentvenues.co.uk/venues/east-kent-college	0	contact	suggestion	No venue website link on the listing	Embed or link the venue's own website so visitors can research further
East Kent College	https://www.kentvenues.co.uk/venues/east-kent-college	0	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
East Kent College	https://www.kentvenues.co.uk/venues/east-kent-college	0	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
East Quay venue	https://www.kentvenues.co.uk/venues/east-quay-venue	76	photos	suggestion	Only 3 photos — could add more	"Aim for 8-10 photos covering exterior, each main space, and example event set-ups"
East Quay venue	https://www.kentvenues.co.uk/venues/east-quay-venue	76	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
East Quay venue	https://www.kentvenues.co.uk/venues/east-quay-venue	76	contact	warning	No social media links — all three social icons are unfilled placeholders	"Add the venue's Facebook, Twitter/X and Instagram profile URLs"
East Quay venue	https://www.kentvenues.co.uk/venues/east-quay-venue	76	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
East Quay venue	https://www.kentvenues.co.uk/venues/east-quay-venue	76	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Eastwell Manor	https://www.kentvenues.co.uk/venues/eastwell-manor-2	67	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
Eastwell Manor	https://www.kentvenues.co.uk/venues/eastwell-manor-2	67	photos	suggestion	Only 4 photos — could add more	"Aim for 8-10 photos covering exterior, each main space, and example event set-ups"
Eastwell Manor	https://www.kentvenues.co.uk/venues/eastwell-manor-2	67	parking	warning	No parking information on the listing	"Add parking details: number of spaces, on-site vs nearby, disabled bays, EV charging, and any charges"
Eastwell Manor	https://www.kentvenues.co.uk/venues/eastwell-manor-2	67	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Eastwell Manor	https://www.kentvenues.co.uk/venues/eastwell-manor-2	67	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Eastwell Park Boathouse	https://www.kentvenues.co.uk/venues/eastwell-park-boathouse	23	photos	critical	No photographs on the listing	"Add a minimum of 5 high-quality photographs showing the venue exterior, main spaces, and set-up examples"
Eastwell Park Boathouse	https://www.kentvenues.co.uk/venues/eastwell-park-boathouse	23	facilities	critical	No facilities or amenities listed	"Add a complete amenities list: WiFi, AV equipment, heating, air conditioning, kitchen access, etc."
Eastwell Park Boathouse	https://www.kentvenues.co.uk/venues/eastwell-park-boathouse	23	parking	warning	No parking information on the listing	"Add parking details: number of spaces, on-site vs nearby, disabled bays, EV charging, and any charges"
Eastwell Park Boathouse	https://www.kentvenues.co.uk/venues/eastwell-park-boathouse	23	catering	warning	No catering or food/drink information on the listing	"Clarify catering options: in-house catering, approved caterers list, BYO alcohol policy, and dietary accommodations"
Eastwell Park Boathouse	https://www.kentvenues.co.uk/venues/eastwell-park-boathouse	23	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Eastwell Park Boathouse	https://www.kentvenues.co.uk/venues/eastwell-park-boathouse	23	contact	critical	"No contact information at all — no email, no social media, no website link"	Add at minimum a contact email and the venue's website and social media links so enquirers can reach the venue directly
Eastwell Park Boathouse	https://www.kentvenues.co.uk/venues/eastwell-park-boathouse	23	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Edenwood Place	https://www.kentvenues.co.uk/venues/edenwood-place	1	description	critical	Missing or extremely short venue description	"Write a detailed description (200+ words) covering the venue's character, history, setting, and what makes it unique"
Edenwood Place	https://www.kentvenues.co.uk/venues/edenwood-place	1	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
Edenwood Place	https://www.kentvenues.co.uk/venues/edenwood-place	1	photos	warning	Only 2 photo(s) on the listing	"Add more photos — listings with 5+ images convert significantly better. Cover different spaces, angles, and event set-ups"
Edenwood Place	https://www.kentvenues.co.uk/venues/edenwood-place	1	facilities	critical	No facilities or amenities listed	"Add a complete amenities list: WiFi, AV equipment, heating, air conditioning, kitchen access, etc."
Edenwood Place	https://www.kentvenues.co.uk/venues/edenwood-place	1	parking	warning	No parking information on the listing	"Add parking details: number of spaces, on-site vs nearby, disabled bays, EV charging, and any charges"
Edenwood Place	https://www.kentvenues.co.uk/venues/edenwood-place	1	catering	warning	No catering or food/drink information on the listing	"Clarify catering options: in-house catering, approved caterers list, BYO alcohol policy, and dietary accommodations"
Edenwood Place	https://www.kentvenues.co.uk/venues/edenwood-place	1	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
Edenwood Place	https://www.kentvenues.co.uk/venues/edenwood-place	1	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Edenwood Place	https://www.kentvenues.co.uk/venues/edenwood-place	1	contact	warning	No social media links — all three social icons are unfilled placeholders	"Add the venue's Facebook, Twitter/X and Instagram profile URLs"
Edenwood Place	https://www.kentvenues.co.uk/venues/edenwood-place	1	contact	suggestion	No phone number displayed	Add a direct phone number for enquirers who prefer to call
Edenwood Place	https://www.kentvenues.co.uk/venues/edenwood-place	1	description	suggestion	No guest reviews or testimonials displayed	Collect and display client testimonials to build trust and credibility
Elham Village Hall	https://www.kentvenues.co.uk/venues/elham-village-hall	54	capacity	critical	No capacity information anywhere on the listing	"Add clear capacity figures: seated capacity, standing/reception capacity, and cabaret/boardroom/theatre layouts for each space"
Elham Village Hall	https://www.kentvenues.co.uk/venues/elham-village-hall	54	facilities	warning	"Only 2 facilities listed (Parking, Tennis)"	"Expand the amenities list to include everything guests would want to know — WiFi, AV, parking, catering options, accessibility features"
Elham Village Hall	https://www.kentvenues.co.uk/venues/elham-village-hall	54	accommodation	info	No accommodation details on the listing	"If on-site accommodation exists, add room count, types and pricing. If not, mention nearby hotel options for wedding parties"
Elham Village Hall	https://www.kentvenues.co.uk/venues/elham-village-hall	54	accessibility	warning	No accessibility information on the listing	"Add accessibility details: wheelchair access, step-free routes, accessible toilets, hearing loops, and accessible parking bays"
Elham Village Hall	https://www.kentvenues.co.uk/venues/elham-village-hall	54	contact	warning	No social media links — all three social icons are unfilled placeholders	"Add the venue's Facebook, Twitter/X and Instagram profile URLs"
